Temperature (K)	Pressure (bar)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
187.76	1.2000	0.53981	1.8525	7.6115	7.8338	0.041895	1.4360	2.4530	1291.0	-0.042111	160.42	0.16389	0.015685	liquid
187.76	1.2000	0.0024026	416.22	443.05	492.99	2.6258	1.1257	1.4516	248.63	3.7227	5.8786	0.0096613	undefined	vapor
188.81	1.2667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
188.81	1.2667	0.53848	1.8571	10.176	10.411	0.055517	1.4364	2.4576	1282.9	-0.041738	158.40	0.16290	0.015520	liquid
188.81	1.2667	0.0025260	395.89	444.01	494.16	2.6176	1.1299	1.4581	249.00	3.6843	5.9108	0.0097598	undefined	vapor
189.82	1.3333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
189.82	1.3333	0.53720	1.8615	12.642	12.890	0.068546	1.4369	2.4620	1275.2	-0.041372	156.50	0.16195	0.015361	liquid
189.82	1.3333	0.0026490	377.51	444.93	495.27	2.6099	1.1340	1.4644	249.35	3.6477	5.9418	0.0098552	undefined	vapor
190.78	1.4000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
190.78	1.4000	0.53597	1.8658	15.018	15.280	0.081038	1.4374	2.4664	1267.7	-0.041013	154.69	0.16103	0.015208	liquid
190.78	1.4000	0.0027715	360.81	445.82	496.33	2.6025	1.1379	1.4707	249.67	3.6128	5.9716	0.0099476	undefined	vapor
191.71	1.4667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
191.71	1.4667	0.53477	1.8700	17.313	17.587	0.093039	1.4379	2.4708	1260.5	-0.040661	152.98	0.16016	0.015061	liquid
191.71	1.4667	0.0028938	345.57	446.67	497.35	2.5955	1.1419	1.4769	249.97	3.5794	6.0004	0.010037	undefined	vapor
192.61	1.5333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
192.61	1.5333	0.53362	1.8740	19.532	19.820	0.10459	1.4384	2.4750	1253.5	-0.040315	151.35	0.15931	0.014919	liquid
192.61	1.5333	0.0030157	331.60	447.49	498.33	2.5889	1.1457	1.4829	250.25	3.5474	6.0282	0.010125	undefined	vapor
193.48	1.6000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
193.48	1.6000	0.53249	1.8780	21.682	21.982	0.11573	1.4390	2.4791	1246.8	-0.039974	149.80	0.15849	0.014783	liquid
193.48	1.6000	0.0031372	318.75	448.28	499.28	2.5826	1.1495	1.4889	250.52	3.5166	6.0551	0.010210	undefined	vapor
194.33	1.6667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
194.33	1.6667	0.53140	1.8818	23.767	24.080	0.12649	1.4395	2.4832	1240.2	-0.039638	148.31	0.15770	0.014650	liquid
194.33	1.6667	0.0032585	306.89	449.04	500.19	2.5765	1.1532	1.4948	250.77	3.4869	6.0812	0.010293	undefined	vapor
195.14	1.7333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
195.14	1.7333	0.53034	1.8856	25.792	26.119	0.13689	1.4400	2.4873	1233.9	-0.039307	146.88	0.15694	0.014522	liquid
195.14	1.7333	0.0033795	295.90	449.77	501.06	2.5707	1.1568	1.5006	251.01	3.4583	6.1066	0.010374	undefined	vapor
195.94	1.8000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
195.94	1.8000	0.52931	1.8892	27.761	28.101	0.14696	1.4406	2.4912	1227.7	-0.038980	145.52	0.15620	0.014397	liquid
195.94	1.8000	0.0035003	285.69	450.49	501.91	2.5651	1.1604	1.5064	251.23	3.4306	6.1312	0.010454	undefined	vapor
196.71	1.8667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
196.71	1.8667	0.52830	1.8928	29.678	30.031	0.15673	1.4411	2.4951	1221.7	-0.038658	144.21	0.15548	0.014276	liquid
196.71	1.8667	0.0036208	276.18	451.18	502.73	2.5598	1.1639	1.5121	251.44	3.4039	6.1551	0.010531	undefined	vapor
197.46	1.9333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
197.46	1.9333	0.52732	1.8964	31.546	31.912	0.16621	1.4417	2.4990	1215.9	-0.038339	142.94	0.15478	0.014159	liquid
197.46	1.9333	0.0037410	267.31	451.85	503.53	2.5546	1.1673	1.5176	251.63	3.3780	6.1785	0.010607	undefined	vapor
198.19	2.0000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
198.19	2.0000	0.52636	1.8998	33.368	33.747	0.17542	1.4422	2.5028	1210.2	-0.038024	141.73	0.15410	0.014044	liquid
198.19	2.0000	0.0038611	258.99	452.50	504.30	2.5496	1.1707	1.5232	251.82	3.3529	6.2012	0.010682	undefined	vapor
198.91	2.0667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
198.91	2.0667	0.52542	1.9032	35.146	35.539	0.18438	1.4428	2.5066	1204.6	-0.037712	140.55	0.15344	0.013933	liquid
198.91	2.0667	0.0039809	251.20	453.13	505.05	2.5448	1.1740	1.5286	252.00	3.3285	6.2234	0.010755	undefined	vapor
199.60	2.1333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
199.60	2.1333	0.52451	1.9066	36.884	37.291	0.19311	1.4434	2.5103	1199.2	-0.037404	139.42	0.15280	0.013824	liquid
199.60	2.1333	0.0041006	243.87	453.75	505.77	2.5402	1.1773	1.5340	252.16	3.3049	6.2451	0.010826	undefined	vapor
200.28	2.2000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
200.28	2.2000	0.52361	1.9098	38.583	39.003	0.20161	1.4439	2.5140	1193.8	-0.037098	138.32	0.15217	0.013718	liquid
200.28	2.2000	0.0042201	236.96	454.35	506.48	2.5357	1.1805	1.5393	252.32	3.2819	6.2663	0.010897	undefined	vapor
200.94	2.2667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
200.94	2.2667	0.52272	1.9131	40.246	40.679	0.20990	1.4445	2.5177	1188.6	-0.036795	137.26	0.15156	0.013615	liquid
200.94	2.2667	0.0043393	230.45	454.93	507.17	2.5314	1.1837	1.5446	252.47	3.2596	6.2870	0.010966	undefined	vapor
201.59	2.3333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
201.59	2.3333	0.52186	1.9162	41.874	42.321	0.21799	1.4451	2.5213	1183.6	-0.036495	136.23	0.15096	0.013514	liquid
201.59	2.3333	0.0044585	224.29	455.50	507.84	2.5272	1.1868	1.5498	252.61	3.2379	6.3073	0.011034	undefined	vapor
202.23	2.4000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
202.23	2.4000	0.52101	1.9193	43.469	43.929	0.22590	1.4457	2.5248	1178.6	-0.036198	135.23	0.15037	0.013415	liquid
202.23	2.4000	0.0045774	218.46	456.06	508.49	2.5231	1.1899	1.5549	252.75	3.2168	6.3272	0.011101	undefined	vapor
202.85	2.4667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
202.85	2.4667	0.52018	1.9224	45.033	45.507	0.23362	1.4462	2.5284	1173.7	-0.035903	134.27	0.14980	0.013319	liquid
202.85	2.4667	0.0046963	212.93	456.60	509.12	2.5191	1.1929	1.5600	252.87	3.1962	6.3467	0.011168	undefined	vapor
203.46	2.5333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
203.46	2.5333	0.51936	1.9254	46.567	47.054	0.24118	1.4468	2.5319	1168.9	-0.035610	133.33	0.14924	0.013224	liquid
203.46	2.5333	0.0048150	207.69	457.13	509.74	2.5153	1.1958	1.5650	252.99	3.1761	6.3658	0.011233	undefined	vapor
204.06	2.6000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
204.06	2.6000	0.51856	1.9284	48.072	48.574	0.24857	1.4474	2.5354	1164.2	-0.035319	132.41	0.14870	0.013131	liquid
204.06	2.6000	0.0049335	202.69	457.65	510.35	2.5115	1.1988	1.5700	253.11	3.1566	6.3846	0.011297	undefined	vapor
204.64	2.6667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
204.64	2.6667	0.51777	1.9314	49.551	50.066	0.25581	1.4480	2.5388	1159.6	-0.035031	131.52	0.14816	0.013040	liquid
204.64	2.6667	0.0050520	197.94	458.15	510.94	2.5079	1.2016	1.5749	253.21	3.1375	6.4030	0.011360	undefined	vapor
205.22	2.7333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
205.22	2.7333	0.51699	1.9343	51.004	51.532	0.26290	1.4486	2.5422	1155.1	-0.034744	130.66	0.14764	0.012951	liquid
205.22	2.7333	0.0051703	193.41	458.65	511.52	2.5044	1.2045	1.5798	253.32	3.1189	6.4211	0.011422	undefined	vapor
205.78	2.8000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
205.78	2.8000	0.51623	1.9371	52.431	52.974	0.26985	1.4492	2.5456	1150.6	-0.034459	129.81	0.14713	0.012864	liquid
205.78	2.8000	0.0052885	189.09	459.14	512.08	2.5009	1.2073	1.5846	253.41	3.1007	6.4389	0.011484	undefined	vapor
206.34	2.8667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
206.34	2.8667	0.51548	1.9400	53.835	54.391	0.27667	1.4497	2.5490	1146.3	-0.034177	128.99	0.14662	0.012778	liquid
206.34	2.8667	0.0054066	184.96	459.61	512.63	2.4975	1.2100	1.5894	253.50	3.0830	6.4564	0.011545	undefined	vapor
206.88	2.9333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
206.88	2.9333	0.51473	1.9427	55.217	55.786	0.28336	1.4503	2.5524	1142.0	-0.033895	128.19	0.14613	0.012694	liquid
206.88	2.9333	0.0055246	181.01	460.08	513.18	2.4942	1.2127	1.5941	253.59	3.0657	6.4736	0.011605	undefined	vapor
207.42	3.0000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
