Temperature (K)	Pressure (bar)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
265.74	19.867	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
265.74	19.867	0.41716	2.3972	218.62	223.38	0.97744	1.5874	3.3487	648.41	0.038121	64.397	0.096449	0.0041762	liquid
265.74	19.867	0.037247	26.848	497.91	551.25	2.2112	1.5598	2.6220	240.15	1.9131	8.8025	0.021279	undefined	vapor
265.88	19.933	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
265.88	19.933	0.41687	2.3988	219.03	223.81	0.97901	1.5879	3.3527	647.20	0.038489	64.286	0.096344	0.0041590	liquid
265.88	19.933	0.037388	26.746	497.95	551.26	2.2106	1.5609	2.6274	240.06	1.9118	8.8103	0.021314	undefined	vapor
266.01	20.000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
266.01	20.000	0.41659	2.4004	219.45	224.25	0.98058	1.5884	3.3567	645.98	0.038859	64.176	0.096240	0.0041418	liquid
266.01	20.000	0.037530	26.646	497.98	551.27	2.2100	1.5619	2.6328	239.97	1.9104	8.8181	0.021350	undefined	vapor
266.14	20.067	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
266.14	20.067	0.41631	2.4021	219.86	224.68	0.98214	1.5890	3.3607	644.78	0.039230	64.066	0.096136	0.0041246	liquid
266.14	20.067	0.037671	26.545	498.02	551.28	2.2093	1.5630	2.6382	239.87	1.9090	8.8260	0.021386	undefined	vapor
266.27	20.133	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
266.27	20.133	0.41602	2.4037	220.27	225.11	0.98370	1.5895	3.3648	643.57	0.039602	63.956	0.096032	0.0041075	liquid
266.27	20.133	0.037813	26.446	498.05	551.29	2.2087	1.5640	2.6436	239.78	1.9077	8.8338	0.021422	undefined	vapor
266.40	20.200	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
266.40	20.200	0.41574	2.4054	220.68	225.54	0.98526	1.5900	3.3688	642.37	0.039975	63.847	0.095929	0.0040905	liquid
266.40	20.200	0.037955	26.347	498.08	551.30	2.2081	1.5651	2.6490	239.69	1.9063	8.8417	0.021458	undefined	vapor
266.53	20.267	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
266.53	20.267	0.41546	2.4070	221.09	225.97	0.98682	1.5905	3.3729	641.16	0.040349	63.738	0.095825	0.0040735	liquid
266.53	20.267	0.038098	26.248	498.12	551.31	2.2075	1.5661	2.6545	239.60	1.9050	8.8495	0.021494	undefined	vapor
266.66	20.333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
266.66	20.333	0.41517	2.4086	221.51	226.40	0.98837	1.5911	3.3770	639.96	0.040725	63.629	0.095722	0.0040566	liquid
266.66	20.333	0.038240	26.151	498.15	551.32	2.2068	1.5672	2.6600	239.51	1.9037	8.8574	0.021530	undefined	vapor
266.79	20.400	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
266.79	20.400	0.41489	2.4103	221.91	226.83	0.98992	1.5916	3.3811	638.77	0.041102	63.521	0.095620	0.0040397	liquid
266.79	20.400	0.038383	26.053	498.18	551.33	2.2062	1.5683	2.6655	239.41	1.9023	8.8653	0.021566	undefined	vapor
266.92	20.467	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
266.92	20.467	0.41461	2.4119	222.32	227.26	0.99146	1.5922	3.3852	637.57	0.041480	63.413	0.095517	0.0040229	liquid
266.92	20.467	0.038526	25.957	498.21	551.34	2.2056	1.5693	2.6711	239.32	1.9010	8.8732	0.021602	undefined	vapor
267.05	20.533	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
267.05	20.533	0.41432	2.4136	222.73	227.69	0.99301	1.5927	3.3893	636.38	0.041859	63.305	0.095415	0.0040061	liquid
267.05	20.533	0.038669	25.861	498.24	551.34	2.2050	1.5704	2.6766	239.23	1.8997	8.8810	0.021638	undefined	vapor
267.18	20.600	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
267.18	20.600	0.41404	2.4152	223.14	228.12	0.99455	1.5932	3.3934	635.19	0.042239	63.198	0.095313	0.0039894	liquid
267.18	20.600	0.038812	25.765	498.27	551.35	2.2043	1.5714	2.6822	239.14	1.8984	8.8889	0.021674	undefined	vapor
267.31	20.667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
267.31	20.667	0.41376	2.4169	223.55	228.54	0.99608	1.5938	3.3976	634.00	0.042621	63.090	0.095211	0.0039727	liquid
267.31	20.667	0.038955	25.670	498.30	551.35	2.2037	1.5725	2.6878	239.04	1.8971	8.8968	0.021711	undefined	vapor
267.44	20.733	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
267.44	20.733	0.41348	2.4185	223.95	228.97	0.99762	1.5943	3.4018	632.81	0.043004	62.984	0.095110	0.0039561	liquid
267.44	20.733	0.039099	25.576	498.33	551.36	2.2031	1.5736	2.6935	238.95	1.8957	8.9048	0.021747	undefined	vapor
267.56	20.800	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
267.56	20.800	0.41319	2.4202	224.36	229.39	0.99915	1.5948	3.4059	631.63	0.043388	62.877	0.095009	0.0039396	liquid
267.56	20.800	0.039243	25.482	498.36	551.36	2.2025	1.5746	2.6991	238.86	1.8944	8.9127	0.021783	undefined	vapor
267.69	20.867	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
267.69	20.867	0.41291	2.4218	224.77	229.82	1.0007	1.5954	3.4101	630.44	0.043774	62.771	0.094908	0.0039230	liquid
267.69	20.867	0.039387	25.389	498.39	551.37	2.2019	1.5757	2.7048	238.76	1.8931	8.9206	0.021820	undefined	vapor
267.82	20.933	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
267.82	20.933	0.41263	2.4235	225.17	230.24	1.0022	1.5959	3.4144	629.26	0.044160	62.665	0.094807	0.0039066	liquid
267.82	20.933	0.039531	25.297	498.42	551.37	2.2012	1.5767	2.7105	238.67	1.8919	8.9285	0.021856	undefined	vapor
267.95	21.000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
267.95	21.000	0.41235	2.4251	225.57	230.67	1.0037	1.5964	3.4186	628.08	0.044548	62.560	0.094706	0.0038902	liquid
267.95	21.000	0.039676	25.204	498.44	551.37	2.2006	1.5778	2.7162	238.58	1.8906	8.9365	0.021893	undefined	vapor
268.07	21.067	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
268.07	21.067	0.41207	2.4268	225.98	231.09	1.0052	1.5970	3.4228	626.91	0.044938	62.454	0.094606	0.0038738	liquid
268.07	21.067	0.039820	25.113	498.47	551.37	2.2000	1.5789	2.7220	238.48	1.8893	8.9444	0.021929	undefined	vapor
268.20	21.133	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
268.20	21.133	0.41179	2.4284	226.38	231.51	1.0068	1.5975	3.4271	625.73	0.045328	62.349	0.094506	0.0038575	liquid
268.20	21.133	0.039965	25.022	498.50	551.38	2.1994	1.5799	2.7278	238.39	1.8880	8.9524	0.021966	undefined	vapor
268.33	21.200	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
268.33	21.200	0.41150	2.4301	226.78	231.94	1.0083	1.5980	3.4314	624.56	0.045720	62.245	0.094407	0.0038412	liquid
268.33	21.200	0.040110	24.931	498.52	551.38	2.1988	1.5810	2.7336	238.30	1.8867	8.9604	0.022003	undefined	vapor
268.45	21.267	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
268.45	21.267	0.41122	2.4318	227.19	232.36	1.0098	1.5986	3.4357	623.39	0.046113	62.140	0.094307	0.0038250	liquid
268.45	21.267	0.040256	24.841	498.55	551.38	2.1982	1.5820	2.7394	238.20	1.8855	8.9683	0.022039	undefined	vapor
268.58	21.333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
268.58	21.333	0.41094	2.4334	227.59	232.78	1.0113	1.5991	3.4400	622.22	0.046508	62.036	0.094208	0.0038088	liquid
268.58	21.333	0.040401	24.752	498.57	551.38	2.1975	1.5831	2.7453	238.11	1.8842	8.9763	0.022076	undefined	vapor
268.70	21.400	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
268.70	21.400	0.41066	2.4351	227.99	233.20	1.0128	1.5996	3.4443	621.05	0.046904	61.932	0.094109	0.0037927	liquid
268.70	21.400	0.040547	24.663	498.60	551.38	2.1969	1.5842	2.7512	238.02	1.8830	8.9843	0.022113	undefined	vapor
268.83	21.467	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
268.83	21.467	0.41038	2.4368	228.39	233.62	1.0143	1.6002	3.4486	619.89	0.047301	61.829	0.094010	0.0037766	liquid
268.83	21.467	0.040693	24.574	498.62	551.37	2.1963	1.5852	2.7571	237.92	1.8817	8.9923	0.022150	undefined	vapor
268.95	21.533	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
268.95	21.533	0.41010	2.4384	228.79	234.04	1.0158	1.6007	3.4530	618.73	0.047700	61.726	0.093911	0.0037606	liquid
268.95	21.533	0.040839	24.487	498.64	551.37	2.1957	1.5863	2.7631	237.83	1.8805	9.0003	0.022187	undefined	vapor
269.08	21.600	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
269.08	21.600	0.40982	2.4401	229.19	234.46	1.0173	1.6012	3.4574	617.56	0.048099	61.623	0.093813	0.0037446	liquid
269.08	21.600	0.040985	24.399	498.67	551.37	2.1951	1.5874	2.7690	237.73	1.8792	9.0084	0.022224	undefined	vapor
269.20	21.667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
269.20	21.667	0.40954	2.4418	229.59	234.88	1.0188	1.6018	3.4618	616.41	0.048501	61.520	0.093715	0.0037287	liquid
269.20	21.667	0.041132	24.312	498.69	551.37	2.1945	1.5884	2.7750	237.64	1.8780	9.0164	0.022261	undefined	vapor
269.32	21.733	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
269.32	21.733	0.40926	2.4434	229.98	235.29	1.0203	1.6023	3.4662	615.25	0.048903	61.418	0.093617	0.0037128	liquid
269.32	21.733	0.041278	24.226	498.71	551.36	2.1938	1.5895	2.7810	237.54	1.8767	9.0244	0.022298	undefined	vapor
269.45	21.800	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
269.45	21.800	0.40898	2.4451	230.38	235.71	1.0218	1.6029	3.4706	614.09	0.049307	61.315	0.093520	0.0036970	liquid
269.45	21.800	0.041425	24.140	498.73	551.36	2.1932	1.5906	2.7871	237.45	1.8755	9.0325	0.022335	undefined	vapor
269.57	21.867	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
269.57	21.867	0.40870	2.4468	230.78	236.13	1.0233	1.6034	3.4750	612.94	0.049713	61.214	0.093422	0.0036812	liquid
269.57	21.867	0.041573	24.054	498.76	551.35	2.1926	1.5916	2.7932	237.35	1.8743	9.0406	0.022373	undefined	vapor
269.69	21.933	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
269.69	21.933	0.40842	2.4485	231.17	236.54	1.0247	1.6039	3.4795	611.79	0.050119	61.112	0.093325	0.0036655	liquid
269.69	21.933	0.041720	23.969	498.78	551.35	2.1920	1.5927	2.7993	237.26	1.8731	9.0486	0.022410	undefined	vapor
269.82	22.000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
269.82	22.000	0.40814	2.4502	231.57	236.96	1.0262	1.6045	3.4840	610.64	0.050527	61.011	0.093228	0.0036498	liquid
269.82	22.000	0.041868	23.885	498.80	551.34	2.1914	1.5938	2.8054	237.16	1.8718	9.0567	0.022448	undefined	vapor
269.94	22.067	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
269.94	22.067	0.40786	2.4518	231.96	237.38	1.0277	1.6050	3.4885	609.49	0.050937	60.910	0.093131	0.0036341	liquid
269.94	22.067	0.042016	23.801	498.82	551.34	2.1908	1.5948	2.8116	237.07	1.8706	9.0648	0.022485	undefined	vapor
270.06	22.133	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
270.06	22.133	0.40758	2.4535	232.36	237.79	1.0292	1.6055	3.4930	608.35	0.051348	60.809	0.093035	0.0036185	liquid
270.06	22.133	0.042164	23.717	498.84	551.33	2.1902	1.5959	2.8178	236.97	1.8694	9.0729	0.022523	undefined	vapor
270.18	22.200	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
270.18	22.200	0.40730	2.4552	232.75	238.20	1.0306	1.6061	3.4975	607.20	0.051760	60.708	0.092939	0.0036030	liquid
270.18	22.200	0.042312	23.634	498.86	551.32	2.1896	1.5970	2.8240	236.88	1.8682	9.0810	0.022560	undefined	vapor
270.31	22.267	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
270.31	22.267	0.40702	2.4569	233.15	238.62	1.0321	1.6066	3.5020	606.06	0.052174	60.608	0.092843	0.0035875	liquid
270.31	22.267	0.042461	23.551	498.87	551.31	2.1889	1.5981	2.8303	236.78	1.8670	9.0891	0.022598	undefined	vapor
270.43	22.333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
270.43	22.333	0.40674	2.4586	233.54	239.03	1.0336	1.6072	3.5066	604.92	0.052590	60.508	0.092747	0.0035720	liquid
270.43	22.333	0.042609	23.469	498.89	551.31	2.1883	1.5991	2.8365	236.69	1.8658	9.0973	0.022636	undefined	vapor
270.55	22.400	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
270.55	22.400	0.40646	2.4603	233.93	239.44	1.0350	1.6077	3.5112	603.78	0.053006	60.409	0.092651	0.0035566	liquid
270.55	22.400	0.042758	23.387	498.91	551.30	2.1877	1.6002	2.8429	236.59	1.8646	9.1054	0.022673	undefined	vapor
270.67	22.467	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
270.67	22.467	0.40618	2.4620	234.33	239.86	1.0365	1.6082	3.5158	602.64	0.053425	60.309	0.092556	0.0035412	liquid
270.67	22.467	0.042908	23.306	498.93	551.29	2.1871	1.6013	2.8492	236.50	1.8634	9.1136	0.022711	undefined	vapor
270.79	22.533	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
270.79	22.533	0.40590	2.4637	234.72	240.27	1.0380	1.6088	3.5204	601.51	0.053844	60.210	0.092460	0.0035259	liquid
270.79	22.533	0.043057	23.225	498.94	551.28	2.1865	1.6024	2.8556	236.40	1.8622	9.1218	0.022749	undefined	vapor
270.91	22.600	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
270.91	22.600	0.40562	2.4654	235.11	240.68	1.0394	1.6093	3.5251	600.38	0.054266	60.111	0.092366	0.0035106	liquid
270.91	22.600	0.043207	23.145	498.96	551.27	2.1859	1.6034	2.8620	236.30	1.8610	9.1299	0.022787	undefined	vapor
271.03	22.667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
271.03	22.667	0.40534	2.4671	235.50	241.09	1.0409	1.6099	3.5297	599.24	0.054688	60.012	0.092271	0.0034954	liquid
271.03	22.667	0.043357	23.065	498.98	551.26	2.1853	1.6045	2.8684	236.21	1.8599	9.1381	0.022825	undefined	vapor
271.15	22.733	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
271.15	22.733	0.40506	2.4688	235.89	241.50	1.0423	1.6104	3.5344	598.11	0.055113	59.914	0.092176	0.0034802	liquid
271.15	22.733	0.043507	22.985	498.99	551.24	2.1847	1.6056	2.8749	236.11	1.8587	9.1463	0.022864	undefined	vapor
271.27	22.800	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
271.27	22.800	0.40478	2.4705	236.28	241.91	1.0438	1.6109	3.5391	596.99	0.055538	59.816	0.092082	0.0034650	liquid
271.27	22.800	0.043657	22.906	499.01	551.23	2.1841	1.6067	2.8814	236.02	1.8575	9.1545	0.022902	undefined	vapor
271.39	22.867	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
271.39	22.867	0.40450	2.4722	236.67	242.32	1.0452	1.6115	3.5438	595.86	0.055965	59.718	0.091988	0.0034499	liquid
271.39	22.867	0.043808	22.827	499.02	551.22	2.1835	1.6077	2.8879	235.92	1.8563	9.1628	0.022940	undefined	vapor
271.51	22.933	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
271.51	22.933	0.40423	2.4739	237.06	242.73	1.0467	1.6120	3.5485	594.74	0.056394	59.620	0.091894	0.0034349	liquid
271.51	22.933	0.043959	22.749	499.04	551.21	2.1828	1.6088	2.8945	235.82	1.8552	9.1710	0.022979	undefined	vapor
271.63	23.000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
271.63	23.000	0.40395	2.4756	237.44	243.14	1.0481	1.6125	3.5533	593.61	0.056825	59.523	0.091800	0.0034199	liquid
271.63	23.000	0.044110	22.671	499.05	551.19	2.1822	1.6099	2.9011	235.73	1.8540	9.1792	0.023017	undefined	vapor
271.75	23.067	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
271.75	23.067	0.40367	2.4773	237.83	243.55	1.0496	1.6131	3.5581	592.49	0.057256	59.425	0.091707	0.0034049	liquid
271.75	23.067	0.044261	22.593	499.06	551.18	2.1816	1.6110	2.9077	235.63	1.8528	9.1875	0.023056	undefined	vapor
271.86	23.133	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
271.86	23.133	0.40339	2.4790	238.22	243.95	1.0510	1.6136	3.5629	591.37	0.057690	59.329	0.091613	0.0033900	liquid
271.86	23.133	0.044412	22.516	499.07	551.16	2.1810	1.6121	2.9144	235.53	1.8517	9.1958	0.023094	undefined	vapor
271.98	23.200	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
271.98	23.200	0.40311	2.4807	238.61	244.36	1.0524	1.6142	3.5677	590.25	0.058125	59.232	0.091520	0.0033751	liquid
271.98	23.200	0.044564	22.440	499.09	551.15	2.1804	1.6131	2.9210	235.44	1.8505	9.2040	0.023133	undefined	vapor
272.10	23.267	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
272.10	23.267	0.40283	2.4824	238.99	244.77	1.0539	1.6147	3.5725	589.14	0.058561	59.135	0.091427	0.0033602	liquid
272.10	23.267	0.044716	22.363	499.10	551.13	2.1798	1.6142	2.9278	235.34	1.8494	9.2123	0.023172	undefined	vapor
272.22	23.333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
272.22	23.333	0.40255	2.4841	239.38	245.17	1.0553	1.6152	3.5774	588.02	0.059000	59.039	0.091334	0.0033454	liquid
272.22	23.333	0.044868	22.287	499.11	551.11	2.1792	1.6153	2.9345	235.24	1.8482	9.2206	0.023211	undefined	vapor
272.33	23.400	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
272.33	23.400	0.40227	2.4859	239.76	245.58	1.0567	1.6158	3.5822	586.91	0.059439	58.943	0.091242	0.0033307	liquid
272.33	23.400	0.045021	22.212	499.12	551.10	2.1786	1.6164	2.9413	235.14	1.8471	9.2290	0.023249	undefined	vapor
272.45	23.467	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
272.45	23.467	0.40200	2.4876	240.15	245.99	1.0582	1.6163	3.5871	585.80	0.059881	58.847	0.091150	0.0033159	liquid
272.45	23.467	0.045174	22.137	499.13	551.08	2.1780	1.6175	2.9481	235.05	1.8459	9.2373	0.023288	undefined	vapor
272.57	23.533	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
272.57	23.533	0.40172	2.4893	240.53	246.39	1.0596	1.6169	3.5920	584.69	0.060324	58.752	0.091057	0.0033013	liquid
272.57	23.533	0.045327	22.062	499.14	551.06	2.1774	1.6186	2.9550	234.95	1.8448	9.2456	0.023328	undefined	vapor
272.68	23.600	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
272.68	23.600	0.40144	2.4910	240.92	246.80	1.0610	1.6174	3.5970	583.58	0.060769	58.656	0.090966	0.0032866	liquid
272.68	23.600	0.045480	21.988	499.15	551.04	2.1768	1.6197	2.9619	234.85	1.8437	9.2540	0.023367	undefined	vapor
272.80	23.667	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
272.80	23.667	0.40116	2.4928	241.30	247.20	1.0624	1.6179	3.6019	582.48	0.061215	58.561	0.090874	0.0032720	liquid
272.80	23.667	0.045633	21.914	499.16	551.02	2.1762	1.6208	2.9688	234.76	1.8425	9.2624	0.023406	undefined	vapor
272.92	23.733	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
272.92	23.733	0.40088	2.4945	241.68	247.60	1.0639	1.6185	3.6069	581.37	0.061663	58.466	0.090782	0.0032575	liquid
272.92	23.733	0.045787	21.840	499.17	551.00	2.1756	1.6218	2.9758	234.66	1.8414	9.2707	0.023445	undefined	vapor
273.03	23.800	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
273.03	23.800	0.40060	2.4962	242.07	248.01	1.0653	1.6190	3.6119	580.27	0.062113	58.372	0.090691	0.0032430	liquid
273.03	23.800	0.045941	21.767	499.18	550.98	2.1749	1.6229	2.9828	234.56	1.8403	9.2791	0.023485	undefined	vapor
273.15	23.867	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
273.15	23.867	0.40033	2.4980	242.45	248.41	1.0667	1.6196	3.6170	579.17	0.062564	58.277	0.090600	0.0032285	liquid
273.15	23.867	0.046095	21.694	499.19	550.96	2.1743	1.6240	2.9898	234.46	1.8392	9.2876	0.023524	undefined	vapor
273.26	23.933	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
273.26	23.933	0.40005	2.4997	242.83	248.81	1.0681	1.6201	3.6220	578.07	0.063017	58.183	0.090509	0.0032141	liquid
273.26	23.933	0.046250	21.622	499.19	550.94	2.1737	1.6251	2.9969	234.36	1.8380	9.2960	0.023564	undefined	vapor
273.38	24.000	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
273.38	24.000	0.39977	2.5014	243.21	249.22	1.0695	1.6207	3.6271	576.97	0.063472	58.089	0.090418	0.0031997	liquid
273.38	24.000	0.046405	21.550	499.20	550.92	2.1731	1.6262	3.0040	234.27	1.8369	9.3044	0.023603	undefined	vapor
273.49	24.067	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
273.49	24.067	0.39949	2.5032	243.59	249.62	1.0709	1.6212	3.6322	575.87	0.063928	57.995	0.090327	0.0031854	liquid
273.49	24.067	0.046559	21.478	499.21	550.90	2.1725	1.6273	3.0112	234.17	1.8358	9.3129	0.023643	undefined	vapor
273.61	24.133	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
273.61	24.133	0.39921	2.5049	243.97	250.02	1.0723	1.6217	3.6373	574.77	0.064386	57.902	0.090237	0.0031711	liquid
273.61	24.133	0.046715	21.407	499.21	550.87	2.1719	1.6284	3.0184	234.07	1.8347	9.3213	0.023683	undefined	vapor
273.72	24.200	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
273.72	24.200	0.39893	2.5067	244.35	250.42	1.0737	1.6223	3.6424	573.68	0.064846	57.808	0.090147	0.0031568	liquid
273.72	24.200	0.046870	21.336	499.22	550.85	2.1713	1.6295	3.0256	233.97	1.8336	9.3298	0.023723	undefined	vapor
273.84	24.267	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
273.84	24.267	0.39866	2.5084	244.73	250.82	1.0751	1.6228	3.6476	572.59	0.065308	57.715	0.090057	0.0031426	liquid
273.84	24.267	0.047026	21.265	499.22	550.83	2.1707	1.6306	3.0329	233.87	1.8325	9.3383	0.023763	undefined	vapor
273.95	24.333	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
273.95	24.333	0.39838	2.5102	245.11	251.22	1.0765	1.6234	3.6528	571.50	0.065771	57.622	0.089967	0.0031284	liquid
273.95	24.333	0.047182	21.195	499.23	550.80	2.1701	1.6317	3.0402	233.77	1.8314	9.3468	0.023803	undefined	vapor
274.07	24.400	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	liquid and vapor
274.07	24.400	0.39810	2.5119	245.49	251.62	1.0779	1.6239	3.6580	570.41	0.066236	57.530	0.089877	0.0031142	liquid
274.07	24.400	0.047338	21.125	499.23	550.78	2.1695	1.6328	3.0475	233.67	1.8303	9.3553	0.023843	undefined	vapor
