Temperature (K)	Pressure (bar)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
298.00	22.267	0.033504	29.847	552.16	618.62	2.4264	1.5751	2.2376	270.72	1.2754	9.7818	0.023823	vapor
298.00	22.333	0.033634	29.732	552.03	618.43	2.4251	1.5756	2.2403	270.57	1.2761	9.7850	0.023839	vapor
298.00	22.400	0.033763	29.618	551.89	618.24	2.4238	1.5760	2.2431	270.42	1.2768	9.7882	0.023855	vapor
298.00	22.467	0.033893	29.504	551.76	618.05	2.4225	1.5765	2.2460	270.27	1.2776	9.7914	0.023871	vapor
298.00	22.533	0.034023	29.392	551.63	617.85	2.4212	1.5770	2.2488	270.11	1.2783	9.7946	0.023887	vapor
298.00	22.600	0.034154	29.279	551.49	617.66	2.4199	1.5775	2.2516	269.96	1.2790	9.7979	0.023903	vapor
298.00	22.667	0.034284	29.168	551.36	617.47	2.4186	1.5780	2.2545	269.81	1.2798	9.8012	0.023919	vapor
298.00	22.733	0.034415	29.057	551.22	617.28	2.4173	1.5784	2.2574	269.66	1.2805	9.8044	0.023936	vapor
298.00	22.800	0.034547	28.946	551.09	617.09	2.4160	1.5789	2.2603	269.50	1.2812	9.8077	0.023952	vapor
298.00	22.867	0.034678	28.837	550.95	616.89	2.4147	1.5794	2.2632	269.35	1.2820	9.8111	0.023968	vapor
298.00	22.933	0.034810	28.727	550.82	616.70	2.4134	1.5799	2.2661	269.20	1.2827	9.8144	0.023985	vapor
298.00	23.000	0.034942	28.619	550.68	616.50	2.4121	1.5804	2.2690	269.04	1.2834	9.8177	0.024001	vapor
298.00	23.067	0.035075	28.511	550.55	616.31	2.4108	1.5809	2.2720	268.89	1.2842	9.8211	0.024018	vapor
298.00	23.133	0.035207	28.403	550.41	616.12	2.4095	1.5814	2.2750	268.73	1.2849	9.8245	0.024034	vapor
298.00	23.200	0.035340	28.296	550.27	615.92	2.4083	1.5819	2.2780	268.58	1.2857	9.8279	0.024051	vapor
298.00	23.267	0.035473	28.190	550.14	615.72	2.4070	1.5823	2.2810	268.42	1.2864	9.8313	0.024068	vapor
298.00	23.333	0.035607	28.084	550.00	615.53	2.4057	1.5828	2.2840	268.27	1.2871	9.8347	0.024085	vapor
298.00	23.400	0.035741	27.979	549.86	615.33	2.4044	1.5833	2.2870	268.11	1.2879	9.8381	0.024102	vapor
298.00	23.467	0.035875	27.875	549.72	615.14	2.4031	1.5838	2.2901	267.96	1.2886	9.8416	0.024119	vapor
298.00	23.533	0.036009	27.771	549.59	614.94	2.4018	1.5843	2.2932	267.80	1.2894	9.8450	0.024136	vapor
298.00	23.600	0.036144	27.667	549.45	614.74	2.4005	1.5848	2.2963	267.65	1.2901	9.8485	0.024153	vapor
298.00	23.667	0.036279	27.564	549.31	614.54	2.3993	1.5853	2.2994	267.49	1.2909	9.8520	0.024170	vapor
298.00	23.733	0.036414	27.462	549.17	614.35	2.3980	1.5858	2.3025	267.34	1.2916	9.8555	0.024187	vapor
298.00	23.800	0.036550	27.360	549.03	614.15	2.3967	1.5864	2.3057	267.18	1.2924	9.8591	0.024205	vapor
298.00	23.867	0.036686	27.259	548.89	613.95	2.3954	1.5869	2.3088	267.02	1.2931	9.8626	0.024222	vapor
298.00	23.933	0.036822	27.158	548.75	613.75	2.3942	1.5874	2.3120	266.87	1.2939	9.8662	0.024240	vapor
298.00	24.000	0.036958	27.058	548.61	613.55	2.3929	1.5879	2.3152	266.71	1.2946	9.8698	0.024257	vapor
298.00	24.067	0.037095	26.958	548.47	613.35	2.3916	1.5884	2.3184	266.55	1.2954	9.8734	0.024275	vapor
298.00	24.133	0.037232	26.858	548.33	613.15	2.3903	1.5889	2.3217	266.39	1.2962	9.8770	0.024293	vapor
298.00	24.200	0.037370	26.760	548.19	612.95	2.3891	1.5894	2.3249	266.24	1.2969	9.8806	0.024311	vapor
298.00	24.267	0.037507	26.661	548.05	612.75	2.3878	1.5899	2.3282	266.08	1.2977	9.8843	0.024329	vapor
298.00	24.333	0.037645	26.564	547.91	612.55	2.3865	1.5905	2.3315	265.92	1.2985	9.8879	0.024347	vapor
298.00	24.400	0.037784	26.466	547.77	612.34	2.3852	1.5910	2.3349	265.76	1.2992	9.8916	0.024365	vapor
298.00	24.467	0.037922	26.370	547.62	612.14	2.3840	1.5915	2.3382	265.60	1.3000	9.8953	0.024383	vapor
298.00	24.533	0.038061	26.273	547.48	611.94	2.3827	1.5920	2.3416	265.44	1.3008	9.8991	0.024401	vapor
298.00	24.600	0.038201	26.177	547.34	611.74	2.3814	1.5926	2.3449	265.28	1.3015	9.9028	0.024420	vapor
298.00	24.667	0.038340	26.082	547.20	611.53	2.3802	1.5931	2.3483	265.12	1.3023	9.9066	0.024438	vapor
298.00	24.733	0.038480	25.987	547.05	611.33	2.3789	1.5936	2.3518	264.96	1.3031	9.9103	0.024457	vapor
298.00	24.800	0.038621	25.893	546.91	611.12	2.3776	1.5941	2.3552	264.80	1.3038	9.9141	0.024475	vapor
298.00	24.867	0.038761	25.799	546.77	610.92	2.3764	1.5947	2.3587	264.64	1.3046	9.9179	0.024494	vapor
298.00	24.933	0.038902	25.705	546.62	610.71	2.3751	1.5952	2.3622	264.48	1.3054	9.9218	0.024513	vapor
298.00	25.000	0.039044	25.612	546.48	610.51	2.3738	1.5958	2.3657	264.32	1.3062	9.9256	0.024532	vapor
298.00	25.067	0.039185	25.520	546.33	610.30	2.3726	1.5963	2.3692	264.16	1.3070	9.9295	0.024551	vapor
298.00	25.133	0.039327	25.428	546.19	610.09	2.3713	1.5968	2.3728	264.00	1.3077	9.9334	0.024570	vapor
298.00	25.200	0.039470	25.336	546.04	609.89	2.3700	1.5974	2.3763	263.84	1.3085	9.9373	0.024589	vapor
298.00	25.267	0.039612	25.245	545.89	609.68	2.3688	1.5979	2.3799	263.67	1.3093	9.9412	0.024608	vapor
298.00	25.333	0.039755	25.154	545.75	609.47	2.3675	1.5985	2.3836	263.51	1.3101	9.9451	0.024627	vapor
298.00	25.400	0.039898	25.064	545.60	609.26	2.3663	1.5990	2.3872	263.35	1.3109	9.9491	0.024647	vapor
298.00	25.467	0.040042	24.974	545.45	609.05	2.3650	1.5996	2.3909	263.19	1.3117	9.9531	0.024666	vapor
298.00	25.533	0.040186	24.884	545.31	608.85	2.3637	1.6001	2.3946	263.02	1.3125	9.9571	0.024686	vapor
298.00	25.600	0.040331	24.795	545.16	608.64	2.3625	1.6007	2.3983	262.86	1.3133	9.9611	0.024705	vapor
298.00	25.667	0.040475	24.706	545.01	608.43	2.3612	1.6012	2.4020	262.70	1.3141	9.9651	0.024725	vapor
298.00	25.733	0.040620	24.618	544.86	608.21	2.3600	1.6018	2.4058	262.53	1.3148	9.9692	0.024745	vapor
298.00	25.800	0.040766	24.530	544.72	608.00	2.3587	1.6024	2.4096	262.37	1.3156	9.9733	0.024765	vapor
298.00	25.867	0.040912	24.443	544.57	607.79	2.3574	1.6029	2.4134	262.20	1.3164	9.9774	0.024785	vapor
298.00	25.933	0.041058	24.356	544.42	607.58	2.3562	1.6035	2.4172	262.04	1.3172	9.9815	0.024805	vapor
298.00	26.000	0.041204	24.269	544.27	607.37	2.3549	1.6041	2.4211	261.87	1.3180	9.9856	0.024826	vapor
298.00	26.067	0.041351	24.183	544.12	607.15	2.3537	1.6046	2.4250	261.71	1.3188	9.9898	0.024846	vapor
298.00	26.133	0.041499	24.097	543.97	606.94	2.3524	1.6052	2.4289	261.54	1.3197	9.9940	0.024866	vapor
298.00	26.200	0.041646	24.012	543.82	606.73	2.3512	1.6058	2.4328	261.38	1.3205	9.9982	0.024887	vapor
298.00	26.267	0.041794	23.927	543.67	606.51	2.3499	1.6063	2.4368	261.21	1.3213	10.002	0.024908	vapor
298.00	26.333	0.041943	23.842	543.51	606.30	2.3486	1.6069	2.4408	261.05	1.3221	10.007	0.024929	vapor
298.00	26.400	0.042091	23.758	543.36	606.08	2.3474	1.6075	2.4448	260.88	1.3229	10.011	0.024949	vapor
298.00	26.467	0.042241	23.674	543.21	605.87	2.3461	1.6081	2.4488	260.71	1.3237	10.015	0.024970	vapor
298.00	26.533	0.042390	23.590	543.06	605.65	2.3449	1.6087	2.4529	260.54	1.3245	10.019	0.024991	vapor
298.00	26.600	0.042540	23.507	542.90	605.43	2.3436	1.6093	2.4570	260.38	1.3253	10.024	0.025013	vapor
298.00	26.667	0.042690	23.424	542.75	605.22	2.3424	1.6098	2.4611	260.21	1.3261	10.028	0.025034	vapor
298.00	26.733	0.042841	23.342	542.60	605.00	2.3411	1.6104	2.4653	260.04	1.3270	10.033	0.025055	vapor
298.00	26.800	0.042992	23.260	542.44	604.78	2.3399	1.6110	2.4695	259.87	1.3278	10.037	0.025077	vapor
298.00	26.867	0.043144	23.178	542.29	604.56	2.3386	1.6116	2.4737	259.70	1.3286	10.041	0.025099	vapor
298.00	26.933	0.043296	23.097	542.13	604.34	2.3374	1.6122	2.4780	259.53	1.3294	10.046	0.025120	vapor
298.00	27.000	0.043448	23.016	541.98	604.12	2.3361	1.6128	2.4822	259.37	1.3302	10.050	0.025142	vapor
298.00	27.067	0.043601	22.935	541.82	603.90	2.3349	1.6134	2.4865	259.20	1.3311	10.055	0.025164	vapor
298.00	27.133	0.043754	22.855	541.67	603.68	2.3336	1.6140	2.4909	259.03	1.3319	10.059	0.025186	vapor
298.00	27.200	0.043908	22.775	541.51	603.46	2.3323	1.6146	2.4952	258.86	1.3327	10.064	0.025209	vapor
298.00	27.267	0.044061	22.696	541.35	603.24	2.3311	1.6152	2.4996	258.69	1.3336	10.068	0.025231	vapor
298.00	27.333	0.044216	22.616	541.20	603.01	2.3298	1.6159	2.5041	258.51	1.3344	10.073	0.025253	vapor
298.00	27.400	0.044371	22.537	541.04	602.79	2.3286	1.6165	2.5085	258.34	1.3352	10.078	0.025276	vapor
298.00	27.467	0.044526	22.459	540.88	602.57	2.3273	1.6171	2.5130	258.17	1.3361	10.082	0.025299	vapor
298.00	27.533	0.044682	22.381	540.72	602.34	2.3261	1.6177	2.5175	258.00	1.3369	10.087	0.025321	vapor
298.00	27.600	0.044838	22.303	540.56	602.12	2.3248	1.6183	2.5221	257.83	1.3377	10.091	0.025344	vapor
298.00	27.667	0.044994	22.225	540.40	601.89	2.3236	1.6190	2.5267	257.66	1.3386	10.096	0.025367	vapor
298.00	27.733	0.045151	22.148	540.24	601.67	2.3223	1.6196	2.5313	257.48	1.3394	10.101	0.025391	vapor
298.00	27.800	0.045308	22.071	540.08	601.44	2.3211	1.6202	2.5360	257.31	1.3403	10.106	0.025414	vapor
298.00	27.867	0.045466	21.994	539.92	601.22	2.3198	1.6209	2.5407	257.14	1.3411	10.110	0.025437	vapor
298.00	27.933	0.045625	21.918	539.76	600.99	2.3186	1.6215	2.5454	256.96	1.3420	10.115	0.025461	vapor
298.00	28.000	0.045783	21.842	539.60	600.76	2.3173	1.6221	2.5502	256.79	1.3428	10.120	0.025485	vapor
298.00	28.067	0.045942	21.766	539.44	600.53	2.3160	1.6228	2.5550	256.62	1.3436	10.125	0.025508	vapor
298.00	28.133	0.046102	21.691	539.28	600.30	2.3148	1.6234	2.5598	256.44	1.3445	10.130	0.025532	vapor
298.00	28.200	0.046262	21.616	539.12	600.07	2.3135	1.6241	2.5647	256.27	1.3454	10.135	0.025556	vapor
298.00	28.267	0.046423	21.541	538.95	599.84	2.3123	1.6247	2.5696	256.09	1.3462	10.140	0.025581	vapor
298.00	28.333	0.046584	21.467	538.79	599.61	2.3110	1.6254	2.5746	255.91	1.3471	10.145	0.025605	vapor
298.00	28.400	0.046745	21.393	538.62	599.38	2.3098	1.6260	2.5795	255.74	1.3479	10.150	0.025630	vapor
298.00	28.467	0.046907	21.319	538.46	599.15	2.3085	1.6267	2.5846	255.56	1.3488	10.155	0.025654	vapor
298.00	28.533	0.047070	21.245	538.30	598.91	2.3073	1.6273	2.5896	255.39	1.3496	10.160	0.025679	vapor
298.00	28.600	0.047232	21.172	538.13	598.68	2.3060	1.6280	2.5947	255.21	1.3505	10.165	0.025704	vapor
298.00	28.667	0.047396	21.099	537.96	598.45	2.3047	1.6287	2.5999	255.03	1.3514	10.170	0.025729	vapor
298.00	28.733	0.047560	21.026	537.80	598.21	2.3035	1.6293	2.6051	254.85	1.3522	10.175	0.025754	vapor
298.00	28.800	0.047724	20.954	537.63	597.98	2.3022	1.6300	2.6103	254.68	1.3531	10.180	0.025780	vapor
298.00	28.867	0.047889	20.882	537.46	597.74	2.3010	1.6307	2.6156	254.50	1.3540	10.185	0.025805	vapor
298.00	28.933	0.048054	20.810	537.30	597.51	2.2997	1.6314	2.6209	254.32	1.3548	10.190	0.025831	vapor
298.00	29.000	0.048220	20.738	537.13	597.27	2.2984	1.6321	2.6262	254.14	1.3557	10.196	0.025857	vapor
298.00	29.067	0.048386	20.667	536.96	597.03	2.2972	1.6327	2.6316	253.96	1.3566	10.201	0.025883	vapor
298.00	29.133	0.048553	20.596	536.79	596.79	2.2959	1.6334	2.6371	253.78	1.3575	10.206	0.025909	vapor
298.00	29.200	0.048721	20.525	536.62	596.55	2.2947	1.6341	2.6425	253.60	1.3583	10.211	0.025935	vapor
298.00	29.267	0.048889	20.455	536.45	596.31	2.2934	1.6348	2.6481	253.42	1.3592	10.217	0.025961	vapor
298.00	29.333	0.049057	20.384	536.28	596.07	2.2921	1.6355	2.6536	253.24	1.3601	10.222	0.025988	vapor
298.00	29.400	0.049226	20.315	536.11	595.83	2.2909	1.6362	2.6593	253.06	1.3610	10.228	0.026015	vapor
298.00	29.467	0.049395	20.245	535.94	595.59	2.2896	1.6369	2.6649	252.88	1.3619	10.233	0.026042	vapor
298.00	29.533	0.049565	20.175	535.76	595.35	2.2883	1.6376	2.6706	252.69	1.3628	10.238	0.026069	vapor
298.00	29.600	0.049736	20.106	535.59	595.11	2.2871	1.6384	2.6764	252.51	1.3636	10.244	0.026096	vapor
298.00	29.667	0.049907	20.037	535.42	594.86	2.2858	1.6391	2.6822	252.33	1.3645	10.249	0.026123	vapor
298.00	29.733	0.050079	19.969	535.24	594.62	2.2845	1.6398	2.6881	252.15	1.3654	10.255	0.026151	vapor
298.00	29.800	0.050251	19.900	535.07	594.37	2.2833	1.6405	2.6940	251.96	1.3663	10.261	0.026179	vapor
298.00	29.867	0.050423	19.832	534.90	594.13	2.2820	1.6412	2.6999	251.78	1.3672	10.266	0.026206	vapor
298.00	29.933	0.050597	19.764	534.72	593.88	2.2807	1.6420	2.7059	251.59	1.3681	10.272	0.026235	vapor
298.00	30.000	0.050771	19.696	534.54	593.63	2.2795	1.6427	2.7120	251.41	1.3690	10.278	0.026263	vapor
298.00	30.067	0.050945	19.629	534.37	593.39	2.2782	1.6435	2.7181	251.22	1.3699	10.283	0.026291	vapor
298.00	30.133	0.051120	19.562	534.19	593.14	2.2769	1.6442	2.7243	251.04	1.3708	10.289	0.026320	vapor
298.00	30.200	0.051296	19.495	534.01	592.89	2.2756	1.6449	2.7305	250.85	1.3717	10.295	0.026349	vapor
298.00	30.267	0.051472	19.428	533.83	592.64	2.2744	1.6457	2.7368	250.67	1.3726	10.301	0.026378	vapor
298.00	30.333	0.051648	19.362	533.66	592.39	2.2731	1.6464	2.7431	250.48	1.3735	10.307	0.026407	vapor
298.00	30.400	0.051826	19.295	533.48	592.14	2.2718	1.6472	2.7495	250.29	1.3744	10.312	0.026436	vapor
298.00	30.467	0.052004	19.229	533.30	591.88	2.2705	1.6480	2.7560	250.10	1.3753	10.318	0.026466	vapor
298.00	30.533	0.052182	19.164	533.12	591.63	2.2693	1.6487	2.7625	249.92	1.3762	10.324	0.026496	vapor
298.00	30.600	0.052361	19.098	532.94	591.38	2.2680	1.6495	2.7690	249.73	1.3771	10.330	0.026525	vapor
298.00	30.667	0.052541	19.033	532.75	591.12	2.2667	1.6503	2.7757	249.54	1.3780	10.336	0.026556	vapor
298.00	30.733	0.052722	18.968	532.57	590.87	2.2654	1.6511	2.7823	249.35	1.3790	10.342	0.026586	vapor
298.00	30.800	0.052903	18.903	532.39	590.61	2.2641	1.6518	2.7891	249.16	1.3799	10.349	0.026617	vapor
298.00	30.867	0.053084	18.838	532.21	590.35	2.2628	1.6526	2.7959	248.97	1.3808	10.355	0.026647	vapor
298.00	30.933	0.053266	18.774	532.02	590.10	2.2616	1.6534	2.8028	248.78	1.3817	10.361	0.026678	vapor
298.00	31.000	0.053449	18.709	531.84	589.84	2.2603	1.6542	2.8097	248.59	1.3826	10.367	0.026709	vapor
298.00	31.067	0.053633	18.645	531.65	589.58	2.2590	1.6550	2.8167	248.40	1.3836	10.373	0.026741	vapor
298.00	31.133	0.053817	18.581	531.47	589.32	2.2577	1.6558	2.8238	248.21	1.3845	10.380	0.026772	vapor
298.00	31.200	0.054002	18.518	531.28	589.06	2.2564	1.6566	2.8309	248.01	1.3854	10.386	0.026804	vapor
298.00	31.267	0.054188	18.454	531.09	588.79	2.2551	1.6575	2.8381	247.82	1.3863	10.392	0.026836	vapor
298.00	31.333	0.054374	18.391	530.91	588.53	2.2538	1.6583	2.8454	247.63	1.3873	10.399	0.026868	vapor
298.00	31.400	0.054561	18.328	530.72	588.27	2.2525	1.6591	2.8527	247.43	1.3882	10.405	0.026901	vapor
298.00	31.467	0.054748	18.265	530.53	588.00	2.2512	1.6599	2.8601	247.24	1.3891	10.412	0.026934	vapor
298.00	31.533	0.054936	18.203	530.34	587.74	2.2499	1.6608	2.8676	247.04	1.3901	10.418	0.026967	vapor
298.00	31.600	0.055125	18.140	530.15	587.47	2.2486	1.6616	2.8752	246.85	1.3910	10.425	0.027000	vapor
298.00	31.667	0.055315	18.078	529.96	587.20	2.2473	1.6624	2.8828	246.65	1.3919	10.431	0.027033	vapor
298.00	31.733	0.055505	18.016	529.77	586.94	2.2460	1.6633	2.8905	246.46	1.3929	10.438	0.027067	vapor
298.00	31.800	0.055697	17.954	529.57	586.67	2.2447	1.6642	2.8983	246.26	1.3938	10.445	0.027101	vapor
298.00	31.867	0.055888	17.893	529.38	586.40	2.2434	1.6650	2.9062	246.06	1.3947	10.451	0.027135	vapor
298.00	31.933	0.056081	17.831	529.19	586.13	2.2421	1.6659	2.9142	245.87	1.3957	10.458	0.027169	vapor
298.00	32.000	0.056274	17.770	528.99	585.86	2.2408	1.6668	2.9222	245.67	1.3966	10.465	0.027204	vapor
298.00	32.067	0.056468	17.709	528.80	585.58	2.2395	1.6676	2.9303	245.47	1.3976	10.472	0.027239	vapor
298.00	32.133	0.056663	17.648	528.60	585.31	2.2382	1.6685	2.9385	245.27	1.3985	10.479	0.027274	vapor
298.00	32.200	0.056859	17.587	528.40	585.04	2.2369	1.6694	2.9468	245.07	1.3995	10.486	0.027309	vapor
298.00	32.267	0.057055	17.527	528.21	584.76	2.2355	1.6703	2.9552	244.87	1.4004	10.493	0.027345	vapor
298.00	32.333	0.057252	17.467	528.01	584.48	2.2342	1.6712	2.9636	244.67	1.4014	10.500	0.027381	vapor
298.00	32.400	0.057450	17.406	527.81	584.21	2.2329	1.6721	2.9722	244.47	1.4023	10.507	0.027417	vapor
298.00	32.467	0.057649	17.346	527.61	583.93	2.2316	1.6730	2.9808	244.27	1.4033	10.514	0.027453	vapor
298.00	32.533	0.057848	17.287	527.41	583.65	2.2303	1.6739	2.9895	244.07	1.4042	10.521	0.027490	vapor
298.00	32.600	0.058048	17.227	527.21	583.37	2.2289	1.6748	2.9984	243.86	1.4052	10.529	0.027527	vapor
298.00	32.667	0.058249	17.168	527.01	583.09	2.2276	1.6758	3.0073	243.66	1.4061	10.536	0.027565	vapor
298.00	32.733	0.058451	17.108	526.80	582.80	2.2263	1.6767	3.0163	243.46	1.4071	10.543	0.027602	vapor
298.00	32.800	0.058654	17.049	526.60	582.52	2.2249	1.6777	3.0254	243.25	1.4081	10.551	0.027640	vapor
298.00	32.867	0.058858	16.990	526.40	582.24	2.2236	1.6786	3.0346	243.05	1.4090	10.558	0.027678	vapor
298.00	32.933	0.059062	16.931	526.19	581.95	2.2223	1.6796	3.0440	242.84	1.4100	10.565	0.027717	vapor
298.00	33.000	0.059268	16.873	525.98	581.66	2.2209	1.6805	3.0534	242.64	1.4109	10.573	0.027756	vapor
298.00	33.067	0.059474	16.814	525.78	581.38	2.2196	1.6815	3.0629	242.43	1.4119	10.581	0.027795	vapor
298.00	33.133	0.059681	16.756	525.57	581.09	2.2182	1.6825	3.0726	242.22	1.4129	10.588	0.027834	vapor
298.00	33.200	0.059889	16.698	525.36	580.80	2.2169	1.6834	3.0823	242.01	1.4138	10.596	0.027874	vapor
298.00	33.267	0.060098	16.640	525.15	580.51	2.2155	1.6844	3.0922	241.81	1.4148	10.604	0.027914	vapor
298.00	33.333	0.060307	16.582	524.94	580.21	2.2142	1.6854	3.1022	241.60	1.4158	10.611	0.027955	vapor
298.00	33.400	0.060518	16.524	524.73	579.92	2.2128	1.6864	3.1123	241.39	1.4168	10.619	0.027995	vapor
298.00	33.467	0.060730	16.466	524.52	579.63	2.2115	1.6874	3.1225	241.18	1.4177	10.627	0.028037	vapor
298.00	33.533	0.060942	16.409	524.31	579.33	2.2101	1.6885	3.1328	240.97	1.4187	10.635	0.028078	vapor
298.00	33.600	0.061156	16.352	524.09	579.03	2.2087	1.6895	3.1433	240.76	1.4197	10.643	0.028120	vapor
298.00	33.667	0.061370	16.295	523.88	578.74	2.2074	1.6905	3.1539	240.54	1.4207	10.651	0.028162	vapor
298.00	33.733	0.061586	16.238	523.66	578.44	2.2060	1.6916	3.1646	240.33	1.4216	10.659	0.028204	vapor
298.00	33.800	0.061802	16.181	523.44	578.14	2.2046	1.6926	3.1754	240.12	1.4226	10.668	0.028247	vapor
298.00	33.867	0.062019	16.124	523.23	577.83	2.2033	1.6937	3.1864	239.90	1.4236	10.676	0.028291	vapor
298.00	33.933	0.062238	16.067	523.01	577.53	2.2019	1.6947	3.1975	239.69	1.4246	10.684	0.028334	vapor
298.00	34.000	0.062457	16.011	522.79	577.23	2.2005	1.6958	3.2088	239.48	1.4256	10.693	0.028378	vapor
298.00	34.067	0.062678	15.955	522.57	576.92	2.1991	1.6969	3.2202	239.26	1.4265	10.701	0.028423	vapor
298.00	34.133	0.062899	15.898	522.35	576.61	2.1977	1.6980	3.2317	239.04	1.4275	10.710	0.028468	vapor
298.00	34.200	0.063122	15.842	522.12	576.31	2.1964	1.6991	3.2434	238.83	1.4285	10.718	0.028513	vapor
298.00	34.267	0.063346	15.786	521.90	576.00	2.1950	1.7002	3.2553	238.61	1.4295	10.727	0.028559	vapor
298.00	34.333	0.063570	15.731	521.68	575.69	2.1936	1.7013	3.2673	238.39	1.4305	10.736	0.028605	vapor
298.00	34.400	0.063796	15.675	521.45	575.37	2.1922	1.7024	3.2794	238.17	1.4315	10.744	0.028651	vapor
298.00	34.467	0.064023	15.619	521.22	575.06	2.1908	1.7036	3.2917	237.95	1.4324	10.753	0.028698	vapor
298.00	34.533	0.064251	15.564	521.00	574.74	2.1894	1.7047	3.3042	237.73	1.4334	10.762	0.028745	vapor
298.00	34.600	0.064480	15.509	520.77	574.43	2.1879	1.7059	3.3169	237.51	1.4344	10.771	0.028793	vapor
298.00	34.667	0.064711	15.453	520.54	574.11	2.1865	1.7070	3.3297	237.29	1.4354	10.780	0.028841	vapor
298.00	34.733	0.064942	15.398	520.31	573.79	2.1851	1.7082	3.3426	237.06	1.4364	10.789	0.028890	vapor
298.00	34.800	0.065175	15.343	520.07	573.47	2.1837	1.7094	3.3558	236.84	1.4374	10.798	0.028939	vapor
298.00	34.867	0.065409	15.288	519.84	573.15	2.1823	1.7106	3.3692	236.62	1.4384	10.808	0.028989	vapor
