Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
272.80	23.666	401.16	0.0024928	241.30	247.20	1.0624	1.6179	3.6019	582.49	0.061210	58.562	0.090875	0.0032722	45.632	0.021915	499.16	551.02	2.1762	1.6207	2.9688	234.76	1.8426	9.2623	0.023406
272.85	23.693	401.05	0.0024934	241.45	247.36	1.0630	1.6182	3.6039	582.04	0.061390	58.524	0.090838	0.0032664	45.693	0.021885	499.16	551.02	2.1759	1.6212	2.9716	234.72	1.8421	9.2656	0.023421
272.89	23.720	400.94	0.0024941	241.60	247.52	1.0636	1.6184	3.6059	581.60	0.061570	58.486	0.090801	0.0032605	45.755	0.021855	499.17	551.01	2.1757	1.6216	2.9744	234.68	1.8416	9.2690	0.023437
272.94	23.746	400.83	0.0024948	241.76	247.68	1.0641	1.6186	3.6079	581.16	0.061750	58.448	0.090764	0.0032547	45.817	0.021826	499.17	551.00	2.1754	1.6221	2.9772	234.64	1.8412	9.2724	0.023453
272.99	23.773	400.72	0.0024955	241.91	247.84	1.0647	1.6188	3.6099	580.71	0.061931	58.410	0.090728	0.0032488	45.879	0.021796	499.17	550.99	2.1752	1.6225	2.9800	234.60	1.8407	9.2758	0.023469
273.03	23.800	400.60	0.0024962	242.07	248.01	1.0653	1.6190	3.6119	580.27	0.062113	58.372	0.090691	0.0032430	45.941	0.021767	499.18	550.98	2.1749	1.6229	2.9828	234.56	1.8403	9.2791	0.023485
273.08	23.827	400.49	0.0024969	242.22	248.17	1.0658	1.6192	3.6140	579.82	0.062295	58.334	0.090654	0.0032371	46.003	0.021738	499.18	550.97	2.1747	1.6234	2.9856	234.52	1.8398	9.2825	0.023501
273.13	23.854	400.38	0.0024976	242.37	248.33	1.0664	1.6195	3.6160	579.38	0.062477	58.295	0.090617	0.0032313	46.066	0.021708	499.18	550.97	2.1745	1.6238	2.9885	234.48	1.8394	9.2859	0.023517
273.17	23.881	400.27	0.0024983	242.53	248.50	1.0670	1.6197	3.6180	578.93	0.062659	58.257	0.090581	0.0032255	46.128	0.021679	499.19	550.96	2.1742	1.6243	2.9913	234.44	1.8389	9.2893	0.023533
273.22	23.908	400.15	0.0024990	242.68	248.66	1.0676	1.6199	3.6201	578.49	0.062843	58.219	0.090544	0.0032196	46.190	0.021650	499.19	550.95	2.1740	1.6247	2.9942	234.40	1.8385	9.2927	0.023549
